"","time","lwp","cth","trel"
"1",39604,183.82991027832,2170,-0.998888888888889
"2",39608,183.82991027832,2170,-0.997777777777778
"3",39612,183.82991027832,2170,-0.996666666666667
"4",39616,183.82991027832,2170,-0.995555555555556
"5",39620,183.82991027832,2170,-0.994444444444444
"6",39624,183.82991027832,2170,-0.993333333333333
"7",39628,153.592864990234,2140,-0.992222222222222
"8",39632,153.592864990234,2140,-0.991111111111111
"9",39636,153.592864990234,2140,-0.99
"10",39640,153.592864990234,2140,-0.988888888888889
"11",39644,153.592864990234,2140,-0.987777777777778
"12",39648,153.592864990234,2140,-0.986666666666667
"13",39652,153.592864990234,2140,-0.985555555555556
"14",39656,163.250015258789,2140,-0.984444444444444
"15",39660,163.250015258789,2140,-0.983333333333333
"16",39664,163.250015258789,2140,-0.982222222222222
"17",39668,163.250015258789,2140,-0.981111111111111
"18",39672,163.250015258789,2140,-0.98
"19",39676,163.250015258789,2140,-0.978888888888889
"20",39680,166.585418701172,2140,-0.977777777777778
"21",39684,166.585418701172,2140,-0.976666666666667
"22",39688,166.585418701172,2140,-0.975555555555556
"23",39692,166.585418701172,2140,-0.974444444444444
"24",39696,166.585418701172,2140,-0.973333333333333
"25",39700,166.585418701172,2110,-0.972222222222222
"26",39704,187.520660400391,2110,-0.971111111111111
"27",39708,187.520660400391,2110,-0.97
"28",39712,187.520660400391,2110,-0.968888888888889
"29",39716,187.520660400391,2140,-0.967777777777778
"30",39720,187.520660400391,2140,-0.966666666666667
"31",39724,187.520660400391,2140,-0.965555555555556
"32",39728,187.520660400391,2140,-0.964444444444444
"33",39732,172.594284057617,2140,-0.963333333333333
"34",39736,172.594284057617,2140,-0.962222222222222
"35",39740,172.594284057617,2140,-0.961111111111111
"36",39744,172.594284057617,2140,-0.96
"37",39748,172.594284057617,2140,-0.958888888888889
"38",39752,172.594284057617,2140,-0.957777777777778
"39",39756,222.476516723633,2140,-0.956666666666667
"40",39760,222.476516723633,2140,-0.955555555555556
"41",39764,222.476516723633,2140,-0.954444444444444
"42",39768,222.476516723633,2140,-0.953333333333333
"43",39772,222.476516723633,2140,-0.952222222222222
"44",39776,222.476516723633,2140,-0.951111111111111
"45",39780,223.272323608398,2170,-0.95
"46",39784,223.272323608398,2170,-0.948888888888889
"47",39788,223.272323608398,2170,-0.947777777777778
"48",39792,223.272323608398,2200,-0.946666666666667
"49",39796,223.272323608398,2200,-0.945555555555556
"50",39800,223.272323608398,2230,-0.944444444444444
"51",39804,239.446136474609,2230,-0.943333333333333
"52",39808,239.446136474609,2230,-0.942222222222222
"53",39812,239.446136474609,2230,-0.941111111111111
"54",39816,239.446136474609,2230,-0.94
"55",39820,239.446136474609,2230,-0.938888888888889
"56",39824,239.446136474609,2200,-0.937777777777778
"57",39828,239.446136474609,2200,-0.936666666666667
"58",39832,212.867218017578,2200,-0.935555555555556
"59",39836,212.867218017578,2200,-0.934444444444444
"60",39840,212.867218017578,2200,-0.933333333333333
"61",39844,212.867218017578,2170,-0.932222222222222
"62",39848,212.867218017578,2170,-0.931111111111111
"63",39852,212.867218017578,2170,-0.93
"64",39856,258.629699707031,2170,-0.928888888888889
"65",39860,258.629699707031,2170,-0.927777777777778
"66",39864,258.629699707031,2170,-0.926666666666667
"67",39868,258.629699707031,2170,-0.925555555555556
"68",39872,258.629699707031,2170,-0.924444444444444
"69",39876,258.629699707031,2170,-0.923333333333333
"70",39880,292.616668701172,2200,-0.922222222222222
"71",39884,292.616668701172,2230,-0.921111111111111
"72",39888,292.616668701172,2260,-0.92
"73",39892,292.616668701172,2290,-0.918888888888889
"74",39896,292.616668701172,2320,-0.917777777777778
