"","time","lwp","trel"
"1",39606,221.989486694336,-0.998333333333333
"2",39643,221.578948974609,-0.988055555555556
"3",39663,221.494750976562,-0.9825
"4",39694,220.894760131836,-0.973888888888889
"5",39713,220.126327514648,-0.968611111111111
"6",39744,218.673706054688,-0.96
"7",39763,217.042114257812,-0.954722222222222
"8",39794,215.378967285156,-0.946111111111111
"9",39813,212.726287841797,-0.940833333333333
"10",39844,209.863143920898,-0.932222222222222
"11",39863,207.421035766602,-0.926944444444444
"12",39895,204.599990844727,-0.918055555555556
"13",39914,202.79997253418,-0.912777777777778
"14",39945,202.031585693359,-0.904166666666667
"15",39964,200.431549072266,-0.898888888888889
"16",39996,199.200012207031,-0.89
"17",40015,197.484191894531,-0.884722222222222
"18",40046,195.747375488281,-0.876111111111111
"19",40065,193.252624511719,-0.870833333333333
"20",40096,190.726287841797,-0.862222222222222
"21",40115,188.252593994141,-0.856944444444444
"22",40146,185.989440917969,-0.848333333333333
"23",40166,184.168411254883,-0.842777777777778
"24",40197,182.084197998047,-0.834166666666667
"25",40216,180.136840820312,-0.828888888888889
"26",40247,178.34733581543,-0.820277777777778
"27",40266,176.86311340332,-0.815
"28",40297,174.67366027832,-0.806388888888889
"29",40316,172.494705200195,-0.801111111111111
"30",40347,170.410491943359,-0.7925
"31",40367,168.852600097656,-0.786944444444444
"32",40397,168.073638916016,-0.778611111111111
"33",40417,167.694686889648,-0.773055555555556
"34",40448,167.063095092773,-0.764444444444444
"35",40467,166.568359375,-0.759166666666667
"36",40498,165.936782836914,-0.750555555555556
"37",40517,166.08415222168,-0.745277777777778
"38",40548,166.789428710938,-0.736666666666667
"39",40568,167.642044067383,-0.731111111111111
"40",40599,168.831512451172,-0.7225
"41",40618,170.189422607422,-0.717222222222222
"42",40649,171.705200195312,-0.708611111111111
"43",40668,172.810485839844,-0.703333333333333
"44",40699,174.031539916992,-0.694722222222222
"45",40718,174.705215454102,-0.689444444444444
"46",40749,175.347320556641,-0.680833333333333
"47",40769,175.957870483398,-0.675277777777778
"48",40800,175.842086791992,-0.666666666666667
"49",40819,175.336807250977,-0.661388888888889
"50",40850,175.084213256836,-0.652777777777778
"51",40869,174.599990844727,-0.6475
"52",40900,173.978942871094,-0.638888888888889
"53",40919,173.57893371582,-0.633611111111111
"54",40950,173.505264282227,-0.625
"55",40970,172.821044921875,-0.619444444444444
"56",41001,172.084197998047,-0.610833333333333
"57",41020,170.831573486328,-0.605555555555556
"58",41051,169.442092895508,-0.596944444444444
"59",41070,167.852615356445,-0.591666666666667
"60",41101,165.821029663086,-0.583055555555556
"61",41121,163.54736328125,-0.5775
"62",41152,160.863159179688,-0.568888888888889
"63",41171,157.894760131836,-0.563611111111111
"64",41202,154.715805053711,-0.555
"65",41221,151.642120361328,-0.549722222222222
"66",41252,148.768432617188,-0.541111111111111
"67",41271,145.726348876953,-0.535833333333333
"68",41302,142.557922363281,-0.527222222222222
"69",41321,139.631607055664,-0.521944444444444
"70",41352,137.315826416016,-0.513333333333333
"71",41371,135.07373046875,-0.508055555555556
"72",41403,132.494766235352,-0.499166666666667
"73",41422,130.242141723633,-0.493888888888889
"74",41453,127.08422088623,-0.485277777777778
"75",41472,124.052658081055,-0.48
"76",41503,121.326332092285,-0.471388888888889
"77",41522,119.147399902344,-0.466111111111111
"78",41553,118.000030517578,-0.4575
"79",41572,116.98949432373,-0.452222222222222
"80",41603,115.526329040527,-0.443611111111111
"81",41622,114.694747924805,-0.438333333333333
"82",41654,114.326324462891,-0.429444444444444
"83",41673,114.136848449707,-0.424166666666667
"84",41704,113.305282592773,-0.415555555555556
"85",41723,113.168411254883,-0.410277777777778
"86",41754,113.189468383789,-0.401666666666667
"87",41773,112.736831665039,-0.396388888888889
"88",41804,111.789451599121,-0.387777777777778
"89",41824,111.073684692383,-0.382222222222222
"90",41855,110.599990844727,-0.373611111111111
"91",41874,110,-0.368333333333333
"92",41905,109.27368927002,-0.359722222222222
"93",41924,108.378921508789,-0.354444444444444
"94",41955,107.852615356445,-0.345833333333333
"95",41975,106.33683013916,-0.340277777777778
"96",42006,105.88419342041,-0.331666666666667
"97",42025,104.94734954834,-0.326388888888889
"98",42056,103.326309204102,-0.317777777777778
"99",42075,101.957885742188,-0.3125
"100",42106,100.631576538086,-0.303888888888889
"101",42125,99.6210403442383,-0.298611111111111
"102",42157,98.7894668579102,-0.289722222222222
"103",42176,97.8631439208984,-0.284444444444444
"104",42207,97.2736740112305,-0.275833333333333
"105",42226,97.5894622802734,-0.270555555555556
"106",42257,98.4315643310547,-0.261944444444444
"107",42276,99.8841934204102,-0.256666666666667
"108",42308,100.831565856934,-0.247777777777778
"109",42327,101.694725036621,-0.2425
"110",42358,102.421035766602,-0.233888888888889
"111",42377,102.884208679199,-0.228611111111111
"112",42408,103.221038818359,-0.22
"113",42427,103.778953552246,-0.214722222222222
"114",42458,104.168418884277,-0.206111111111111
"115",42477,104.38948059082,-0.200833333333333
"116",42508,104.557899475098,-0.192222222222222
"117",42528,104.989471435547,-0.186666666666667
"118",42559,105.600006103516,-0.178055555555556
"119",42578,106.768424987793,-0.172777777777778
"120",42609,107.410522460938,-0.164166666666667
"121",42628,107.831581115723,-0.158888888888889
"122",42659,108.621055603027,-0.150277777777778
"123",42678,109.747367858887,-0.145
"124",42710,110.96842956543,-0.136111111111111
"125",42729,111.799995422363,-0.130833333333333
"126",42760,112.54736328125,-0.122222222222222
"127",42779,112.831581115723,-0.116944444444444
"128",42810,112.968421936035,-0.108333333333333
"129",42829,112.715782165527,-0.103055555555556
