"","time","cod","trel"
"1",129660,0,-0.983333333333333
"2",129720,0,-0.966666666666667
"3",129780,0,-0.95
"4",129840,0,-0.933333333333333
"5",129900,0,-0.916666666666667
"6",129960,0,-0.9
"7",130020,0,-0.883333333333333
"8",130080,0,-0.866666666666667
"9",130140,0,-0.85
"10",130200,0,-0.833333333333333
"11",130260,0,-0.816666666666667
"12",130320,0,-0.8
"13",130380,0,-0.783333333333333
"14",130440,0,-0.766666666666667
"15",130500,0,-0.75
"16",130560,0,-0.733333333333333
"17",130620,0,-0.716666666666667
"18",130680,0,-0.7
"19",130740,0,-0.683333333333333
"20",130800,11.8199996948242,-0.666666666666667
"21",130860,20.7999992370605,-0.65
"22",130920,24,-0.633333333333333
"23",130980,27.7299995422363,-0.616666666666667
"24",131040,32.3800010681152,-0.6
"25",131100,38.2799987792969,-0.583333333333333
"26",131160,46.1199989318848,-0.566666666666667
"27",131220,56.5999984741211,-0.55
"28",131280,68.9300003051758,-0.533333333333333
"29",131340,79.2300033569336,-0.516666666666667
"30",131400,85.7300033569336,-0.5
"31",131460,90.3099975585938,-0.483333333333333
"32",131520,86.4400024414062,-0.466666666666667
"33",131580,0,-0.45
"34",131640,0,-0.433333333333333
"35",131700,0,-0.416666666666667
"36",131760,0,-0.4
"37",131820,0,-0.383333333333333
"38",131880,0,-0.366666666666667
"39",131940,0,-0.35
"40",132000,0,-0.333333333333333
"41",132060,70.120002746582,-0.316666666666667
"42",132120,72.620002746582,-0.3
"43",132180,73.1100006103516,-0.283333333333333
"44",132240,69.7900009155273,-0.266666666666667
"45",132300,65.7099990844727,-0.25
"46",132360,55.7999992370605,-0.233333333333333
"47",132420,42.7599983215332,-0.216666666666667
"48",132480,26.2199993133545,-0.2
"49",132540,0,-0.183333333333333
"50",132600,0,-0.166666666666667
"51",132660,0,-0.15
"52",132720,0,-0.133333333333333
"53",132780,0,-0.116666666666667
"54",132840,0,-0.1
"55",132900,0,-0.0833333333333333
"56",132960,0,-0.0666666666666667
"57",133020,0,-0.05
"58",133080,0,-0.0333333333333333
"59",133140,0,-0.0166666666666667
"60",133200,0,0
"61",133260,0,0.0166666666666667
"62",133320,0,0.0333333333333333
"63",133380,0,0.05
"64",133440,0,0.0666666666666667
"65",133500,0,0.0833333333333333
"66",133560,0,0.1
"67",133620,28.5300006866455,0.116666666666667
"68",133680,30.5499992370605,0.133333333333333
"69",133740,33.3600006103516,0.15
"70",133800,36.0900001525879,0.166666666666667
"71",133860,38.810001373291,0.183333333333333
"72",133920,40.1300010681152,0.2
"73",133980,37.8800010681152,0.216666666666667
"74",134040,32.1500015258789,0.233333333333333
"75",134100,26.2800006866455,0.25
"76",134160,21.6599998474121,0.266666666666667
"77",134220,18.6800003051758,0.283333333333333
"78",134280,17.6900005340576,0.3
"79",134340,18.5100002288818,0.316666666666667
"80",134400,21.1000003814697,0.333333333333333
"81",134460,25.3700008392334,0.35
"82",134520,31.7900009155273,0.366666666666667
"83",134580,40.3400001525879,0.383333333333333
"84",134640,49.2599983215332,0.4
"85",134700,56.7700004577637,0.416666666666667
"86",134760,62.9900016784668,0.433333333333333
"87",134820,69.1100006103516,0.45
"88",134880,75.8899993896484,0.466666666666667
"89",134940,87.1100006103516,0.483333333333333
"90",135000,106.940002441406,0.5
"91",135060,138.130004882812,0.516666666666667
"92",135120,179.699996948242,0.533333333333333
"93",135180,188.979995727539,0.55
"94",135240,152.5,0.566666666666667
"95",135300,124.430000305176,0.583333333333333
"96",135360,114.620002746582,0.6
"97",135420,113.25,0.616666666666667
"98",135480,110.980003356934,0.633333333333333
"99",135540,94.5699996948242,0.65
"100",135600,80.8199996948242,0.666666666666667
"101",135660,71.5400009155273,0.683333333333333
"102",135720,70.8099975585938,0.7
"103",135780,67.4300003051758,0.716666666666667
"104",135840,64.5699996948242,0.733333333333333
"105",135900,57.689998626709,0.75
"106",135960,47.2299995422363,0.766666666666667
"107",136020,37.9099998474121,0.783333333333333
"108",136080,31.3199996948242,0.8
"109",136140,26.7399997711182,0.816666666666667
"110",136200,23.7199993133545,0.833333333333333
"111",136260,14.1899995803833,0.85
"112",136320,13.5,0.866666666666667
"113",136380,13.1199998855591,0.883333333333333
"114",136440,12.9300003051758,0.9
"115",136500,12.75,0.916666666666667
"116",136560,12.5299997329712,0.933333333333333
"117",136620,12.2799997329712,0.95
"118",136680,10.3500003814697,0.966666666666667
"119",136740,0,0.983333333333333
