"","time","lwp","cth","trel"
"1",43204,NA,5980,-0.998888888888889
"2",43208,NA,5980,-0.997777777777778
"3",43212,NA,5980,-0.996666666666667
"4",43216,NA,5980,-0.995555555555556
"5",43220,NA,5980,-0.994444444444444
"6",43224,NA,5980,-0.993333333333333
"7",43228,NA,5980,-0.992222222222222
"8",43232,NA,5980,-0.991111111111111
"9",43236,NA,5980,-0.99
"10",43240,NA,5980,-0.988888888888889
"11",43244,NA,5980,-0.987777777777778
"12",43248,NA,5950,-0.986666666666667
"13",43252,NA,5950,-0.985555555555556
"14",43256,NA,5920,-0.984444444444444
"15",43260,NA,5920,-0.983333333333333
"16",43264,NA,5920,-0.982222222222222
"17",43268,NA,5920,-0.981111111111111
"18",43272,NA,5920,-0.98
"19",43276,NA,5920,-0.978888888888889
"20",43280,NA,5920,-0.977777777777778
"21",43284,NA,5920,-0.976666666666667
"22",43288,NA,5950,-0.975555555555556
"23",43292,NA,5950,-0.974444444444444
"24",43296,NA,5980,-0.973333333333333
"25",43300,NA,6010,-0.972222222222222
"26",43304,NA,6010,-0.971111111111111
"27",43308,NA,6040,-0.97
"28",43312,NA,6010,-0.968888888888889
"29",43316,NA,6010,-0.967777777777778
"30",43320,NA,6010,-0.966666666666667
"31",43324,NA,6010,-0.965555555555556
"32",43328,NA,6010,-0.964444444444444
"33",43332,NA,6040,-0.963333333333333
"34",43336,NA,6040,-0.962222222222222
"35",43340,NA,6040,-0.961111111111111
"36",43344,NA,6040,-0.96
"37",43348,NA,6040,-0.958888888888889
"38",43352,NA,6040,-0.957777777777778
"39",43356,NA,6040,-0.956666666666667
"40",43360,NA,6040,-0.955555555555556
"41",43364,NA,6040,-0.954444444444444
"42",43368,NA,6040,-0.953333333333333
"43",43372,NA,6040,-0.952222222222222
"44",43376,NA,6040,-0.951111111111111
"45",43380,NA,6040,-0.95
"46",43384,NA,6040,-0.948888888888889
"47",43388,NA,6040,-0.947777777777778
"48",43392,NA,6040,-0.946666666666667
"49",43396,NA,6010,-0.945555555555556
"50",43400,NA,6010,-0.944444444444444
"51",43404,NA,6010,-0.943333333333333
"52",43408,NA,5980,-0.942222222222222
"53",43412,NA,5980,-0.941111111111111
"54",43416,NA,5980,-0.94
"55",43420,NA,5980,-0.938888888888889
"56",43424,NA,5980,-0.937777777777778
"57",43428,NA,5980,-0.936666666666667
"58",43432,NA,5950,-0.935555555555556
