"","lat","lon","lwp","lwp.25","lwp.75","sat","tdiff","time.rel"
"1",80.0481217009455,7.53484680539283,0,0,0,"MAC-LWP",1,-29
"2",80.0481217009455,7.53484680539283,0,0,0,"MAC-LWP",0,-29
"3",79.6149389313544,7.39874171842292,0.807825618320041,0,0,"MAC-LWP",1,-28
"4",79.6149389313544,7.39874171842292,2.66015214920044,1.8821439743042,2.84708690643311,"MAC-LWP",-1,-28
"5",79.1598152488471,7.19912492793986,2.22854403926902,0,2.27099800109863,"MAC-LWP",0,-27
"6",78.6758776552894,7.17285074494914,18.8941666044038,2.27099800109863,33.7700004577637,"MAC-LWP",1,-26
"7",77.2159257384874,7.44558828018205,63.7808825174967,45.9699974060059,75.9700012207031,"MAC-LWP",-1,-23
"8",76.7458991916336,7.57766591666286,53.2841116388639,44.6274976730347,57.7599945068359,"MAC-LWP",0,-22
"9",76.2885397943306,7.73652910150331,48.1745130618413,35.060001373291,55.9699974060059,"MAC-LWP",1,-21
"10",76.2885397943306,7.73652910150331,48.1951978149414,35.060001373291,55.9699974060059,"MAC-LWP",-1,-21
"11",75.8365254494884,7.95209943213976,36.7964896422166,30.3712511062622,37.2425003051758,"MAC-LWP",0,-20
"12",75.3846627691143,8.22349475198473,35.5312098051372,31.75,41.0599975585938,"MAC-LWP",1,-19
"13",78.1796848375628,7.24467989586718,41.4446949180292,16.8389973640442,58.861930847168,"MAC-LWP",-1,-25
"14",77.6921663221034,7.33941662039673,63.426275342576,49.6930046081543,75.9700012207031,"MAC-LWP",0,-24
"15",77.2159257384874,7.44558828018205,61.2619071801503,45.0599975585938,75.0599975585938,"MAC-LWP",1,-23
"16",79.1598152488471,7.19912492793986,1.34084591865539,0,1.72483086585999,"MAC-LWP",-1,-27
"17",78.6758776552894,7.17285074494914,14.7199857913382,0,27.7999982833862,"MAC-LWP",0,-26
"18",78.1796848375628,7.24467989586718,45.8942470017758,27.7599983215332,64.734935760498,"MAC-LWP",1,-25
"19",75.8365254494884,7.95209943213976,41.5364985942841,32.0300006866455,47.5599975585938,"MAC-LWP",-1,-20
"20",75.3846627691143,8.22349475198473,35.2532889717504,32.310001373291,41.0599975585938,"MAC-LWP",0,-19
"21",74.9187413686644,8.51240743168121,45.6983067648751,39.0262498855591,53.3299942016602,"MAC-LWP",1,-18
"22",76.7458991916336,7.57766591666286,57.8684095049661,45.9699974060059,65.9699935913086,"MAC-LWP",-1,-22
"23",76.2885397943306,7.73652910150331,48.1951978149414,35.060001373291,55.9699974060059,"MAC-LWP",0,-21
"24",75.8365254494884,7.95209943213976,36.7964896422166,30.3712511062622,37.2425003051758,"MAC-LWP",1,-20
"25",79.6149389313544,7.39874171842292,2.23153281211853,2.01478254795074,2.44828307628632,"MAC-LWP",0,-28
"26",79.1598152488471,7.19912492793986,1.88469620372938,0,2.27099800109863,"MAC-LWP",1,-27
"27",77.6921663221034,7.33941662039673,60.6390798812217,47.7599983215332,75.9700012207031,"MAC-LWP",-1,-24
"28",77.2159257384874,7.44558828018205,61.34657386144,45.0599975585938,75.0599975585938,"MAC-LWP",0,-23
"29",76.7458991916336,7.57766591666286,52.0556131998698,43.3299980163574,57.7599945068359,"MAC-LWP",1,-22
"30",78.6758776552894,7.17285074494914,16.8232424060504,0,33.4419298171997,"MAC-LWP",-1,-26
"31",78.1796848375628,7.24467989586718,48.9283759576811,33.7144298553467,65.9699935913086,"MAC-LWP",0,-25
"32",77.6921663221034,7.33941662039673,67.4349122136276,55.9699974060059,76.7194366455078,"MAC-LWP",1,-24
"33",70.7987591993032,10.9294603348444,40.7193272673844,33.3300018310547,45.0599975585938,"MAC-LWP",-1,-8
"34",70.5027223857394,11.2743891005424,40.5543732378218,33.3300018310547,43.6199989318848,"MAC-LWP",0,-7
"35",70.2246379998679,11.6920608314672,38.4751403331757,31.1199989318848,41.1199989318848,"MAC-LWP",1,-6
"36",71.1136922462202,10.651585857286,43.2056875385736,33.6199989318848,53.6199951171875,"MAC-LWP",-1,-9
"37",70.7987591993032,10.9294603348444,40.9201110162233,33.3300018310547,49.3683261871338,"MAC-LWP",0,-8
"38",70.5027223857394,11.2743891005424,41.4171089397536,31.1199989318848,49.1799964904785,"MAC-LWP",1,-7
"39",70.2246379998679,11.6920608314672,38.4751403331757,31.1199989318848,41.1199989318848,"MAC-LWP",-1,-6
"40",69.9663159880163,12.1712875563148,36.1814753449203,29.1800003051758,41.0599975585938,"MAC-LWP",0,-5
"41",69.7277778351059,12.7034213455917,32.1468148294248,26.6269989013672,38.3050003051758,"MAC-LWP",1,-4
"42",69.7277778351059,12.7034213455917,36.3108218669891,25.8839988708496,39.3211078643799,"MAC-LWP",-1,-4
"43",69.5393498169969,13.4899763567652,34.1625726609617,18.3049983978271,46.6882638931274,"MAC-LWP",0,-3
"44",69.3769063124408,14.2486854803497,29.232281034643,15.5367136001587,39.5180492401123,"MAC-LWP",1,-2
"45",69.2415034687082,15.0105604517146,28.2130904555321,12.0244300365448,41.1581811904907,"MAC-LWP",-1,-1
"46",69.141,15.684,31.2253561270864,8.01238012313843,45.7727661132812,"MAC-LWP",0,0
"47",69.5393498169969,13.4899763567652,37.9747483212015,20.4840126037598,49.1799964904785,"MAC-LWP",-1,-3
"48",69.3769063124408,14.2486854803497,34.8866279064081,17.7677631378174,49.1799964904785,"MAC-LWP",0,-2
"49",69.2415034687082,15.0105604517146,37.7813149028354,16.6998472213745,50.309100151062,"MAC-LWP",1,-1
"50",70.5027223857394,11.2743891005424,40.5543732378218,33.3300018310547,43.6199989318848,"MAC-LWP",-1,-7
"51",70.2246379998679,11.6920608314672,38.4751403331757,31.1199989318848,41.1199989318848,"MAC-LWP",0,-6
"52",69.9663159880163,12.1712875563148,36.1814753449203,29.1800003051758,41.0599975585938,"MAC-LWP",1,-5
"53",69.9663159880163,12.1712875563148,35.4256421150045,28.3050003051758,41.0599975585938,"MAC-LWP",-1,-5
"54",69.7277778351059,12.7034213455917,34.7818335775119,26.069748878479,39.1800003051758,"MAC-LWP",0,-4
"55",69.5393498169969,13.4899763567652,33.2365317299681,20.4840126037598,39.1800003051758,"MAC-LWP",1,-3
"56",69.141,15.684,18.8585430058566,4.56499624252319,14.564998626709,"MAC-LWP",-1,0
"57",69.3769063124408,14.2486854803497,30.7358916623252,13.6499984264374,45.835186958313,"MAC-LWP",-1,-2
"58",69.2415034687082,15.0105604517146,30.2278230190277,13.219856262207,42.6945133209229,"MAC-LWP",0,-1
"59",69.141,15.684,33.6523395145641,9.39776420593262,50.8144340515137,"MAC-LWP",1,0
"60",71.8296171256445,10.1529649985952,51.9709703983405,36.4369316101074,60.2444305419922,"MAC-LWP",-1,-11
"61",71.4556547389667,10.4016209344467,48.2615377844834,33.1194305419922,59.1627655029297,"MAC-LWP",0,-10
"62",71.1136922462202,10.651585857286,46.2109932146574,30.7490148544312,55.2902631759644,"MAC-LWP",1,-9
"63",72.2234585793979,9.88163417504369,44.7837340332741,33.0110969543457,51.848596572876,"MAC-LWP",-1,-12
"64",71.8296171256445,10.1529649985952,51.9709703983405,36.4369316101074,60.2444305419922,"MAC-LWP",0,-11
"65",71.4556547389667,10.4016209344467,48.2615377844834,33.1194305419922,59.1627655029297,"MAC-LWP",1,-10
