"","lat","lon","cc","cth","ctt","cod","nd","tdiff","time.rel","sza","ctt.25","ctt.75","cod.25","cod.75","nd.25","nd.75","cth.25","cth.75","cc.025","cc.975","cod.me","sat"
"1",80.0048034239864,7.52123629669584,0.0337753833402404,7496.79939840264,-46.5989588705904,0.132847078325742,NA,1,-28.9,67.8859293410692,-48.5467004613951,-44.4839806394651,0,0,NA,NA,7178,7779,0,0.102571318087848,0,"VIIRS"
"2",79.7015754852727,7.4259627358169,0.228346456692913,7030.52425567355,-43.7813061043672,1.65860795178383,NA,0,-28.2,64.1278720715466,-45.8071418314706,-42.214570738934,0,0,NA,NA,6790,7360,0,0.915115497723248,0,"VIIRS"
"3",79.2508399853485,7.23904828603647,0.692155756207675,6735.32185854024,-42.1076602018592,5.77994920993218,NA,1,-27.2,63.8186813393529,-43.1270956989378,-40.6355058081448,0,8.8625,NA,NA,6493.75,6916,0.0102803738317757,1,6.41,"VIIRS"
"4",79.4328894583515,7.3188950022297,0,NA,NA,NA,NA,-1,-27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIIRS"
"5",78.966240211424,7.18861525474357,0,NA,NA,NA,NA,0,-26.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIIRS"
"6",78.4774005281987,7.20158240531636,1,6107.4718516108,-39.1951652253267,7.89500162707452,68.4684882043974,1,-25.6,60.5120143182558,-40.5244158130139,-38.0804359201342,5.96,8.99,53.2688541069823,88.9824354845518,5962,6308,1,1,7.44,"VIIRS"
"7",79.3873770901008,7.29893332318139,0.572438897555902,6500.38643550322,-40.6769121262512,3.54884763390541,NA,-1,-27.5,61.6765106604264,-42.0558707458898,-39.0643758770078,0,5.87,NA,NA,6215,6749,0,1,3.32,"VIIRS"
"8",78.9178464520682,7.1859878364445,0.980964467005076,6077.0608160875,-38.2915073756428,6.92746583365873,39.9480894016903,0,-26.5,61.2326649746193,-39.4849308585748,-37.1996509587392,4.72,8.39,25.2436716820578,61.2865406774613,5897,6294.25,0.949304174950298,1,6.245,"VIIRS"
"9",78.4277812464261,7.20876532040816,0.992938244253669,5949.57504846303,-37.7409482439312,7.14695375242315,54.1891807753432,1,-25.5,60.9014566602049,-39.0961158756166,-36.6442009830847,5.3,8.26,32.861464357063,76.0224475692237,5770,6191,0.949304174950298,1,6.59,"VIIRS"
"10",78.6262583735167,7.18003366004095,0.991097600694821,5393.3588101183,-34.8115503137631,8.30464118988165,40.7022631835089,-1,-25.9,60.766393442623,-38.1637534164823,-34.5652310742065,5.32,8.31,24.9347246373335,53.2580760372105,5316,6028,0.961216857173379,1,6.68,"VIIRS"
