"","lat","lon","cc","cth","ctt","cod","nd","tdiff","time.rel","sza","ctt.25","ctt.75","cod.25","cod.75","nd.25","nd.75","cth.25","cth.75","cc.025","cc.975","cod.me","sat"
"17",76.975104601208,13.8174232610095,0,217.665615141956,-0.637522232890773,0,NA,0,-19.4166666666667,75.81,-3.85000266656277,-1.89000271037219,0,0,NA,NA,0,200,0,0,0,"MODIS"
"18",76.5850588760734,13.9253350614538,0,128.952991452991,-0.48186228991858,0,NA,1,-18.4166666666667,75.8139291183548,-3.2000026810914,-1.80000271238384,0,0,NA,NA,0,200,0,0,0,"MODIS"
"19",76.714108875192,13.8918197685451,0,98.963963963964,-0.724825255891652,0,NA,-1,-18.75,81.2857492218764,-3.0900026835501,-1.17000272646544,0,0,NA,NA,0,200,0,0,0,"MODIS"
"20",76.3309630002271,13.9674311408025,0,57.3033707865169,-1.03523890196028,0,NA,0,-17.75,81.4356667162182,-1.73000271394847,-0.860002733394481,0,0,NA,NA,0,0,0,0,0,"MODIS"
"21",75.9651238620379,13.951984008644,0,53.2665363310525,-1.15475461595041,0,NA,1,-16.75,81.5591030649039,-1.73000271394847,-0.860002733394481,0,0,NA,NA,0,0,0,0,0,"MODIS"
"22",76.1144684540146,13.9679023882993,0,171.799628942486,-0.265680612426996,0,NA,-1,-17.1666666666667,86.3990211488997,-1.59000271707771,-1.06000272892413,0,0,NA,NA,0,200,0,0,0,"MODIS"
"23",75.7609828449007,13.9145269577839,0,147.413793103448,-0.15408348547004,0,NA,0,-16.1666666666667,86.6329386024887,-1.59000271707771,-1.06000272892413,0,0,NA,NA,0,200,0,0,0,"MODIS"
"24",75.4215399756626,13.8317863803071,0,161.741835147745,-0.0697582850854563,0,NA,1,-15.1666666666667,86.8524852071006,-1.59000271707771,-0.0600027512758743,0,0,NA,NA,200,200,0,0,0,"MODIS"
"25",75.5339867213993,13.8606018054852,0,304.2194092827,-0.134199775543534,0,NA,-1,-15.5,90.1587185669997,-1.23000272512434,0.209997242689155,0,0,NA,NA,200,400,0,0,0,"MODIS"
"26",75.2053604759341,13.815102509606,0,301.610017889088,0.0460343704192483,0,NA,0,-14.5,90.4576719221738,-0.760002735629655,0.209997242689155,0,0,NA,NA,200,450,0,0,0,"MODIS"
"27",74.8709178133073,13.8936208776062,0,312.164750957854,0.139308402760405,0,NA,1,-13.5,90.7740910579758,0.179997243359708,0.299997240677499,0,0,NA,NA,200,450,0,0,0,"MODIS"
"28",78.9747638412344,13.8707723390136,0.0019040365575019,1332.29166666667,-0.910226761262796,0.0199695349687261,NA,0,-28.8333333333333,71.1860167555217,-13.7200024459511,-10.1700025252998,0,0,NA,NA,450,2800,0,0.00769230769230769,0,"MODIS"
"29",78.8705490221515,13.9891433573957,0.000957304231284702,1205.03018108652,-1.12111070977765,0.0105916137781929,NA,1,-27.8333333333333,71.1147539728126,-13.740002445504,-8.92000255323944,0,0,NA,NA,0,2800,0,0.00583033768292338,0,"MODIS"
"30",78.907787381859,13.9501584641421,0.00096696212731668,792.292870905588,-0.943021965804689,0.0609734071786369,NA,-1,-28.1666666666667,67.6895680902498,-12.8100024662912,-9.22000254653392,0,0,NA,NA,0,450,0,0.00557569042466165,0,"MODIS"
"31",78.788572042697,14.0656968052813,0.000969148764335325,652.317415730337,-1.17199512157697,0.0376417371654256,NA,0,-27.1666666666667,67.5795315780972,-12.8100024662912,-7.50000258497892,0,0,NA,NA,0,450,0,0.00559206412073709,0,"MODIS"
"32",78.6347094560636,14.1232860267279,0.000652954619653934,436.530398322851,-1.41229716497148,0.00570845563473059,NA,1,-26.1666666666667,67.4465328109696,-11.3000025000423,-7.50000258497892,0,0,NA,NA,0,450,0,0.00353450702023203,0,"MODIS"
"33",78.7013936269485,14.1040605969903,0.000686224052153028,650.951847704367,-1.47667220204045,0.00522044936006802,NA,-1,-26.5833333333333,65.7213981815063,-12.1800024803728,-7.23000259101389,0,0,NA,NA,0,450,0,0.00774856431709475,0,"MODIS"
"34",78.5367202357264,14.116112723372,0.000675219446320054,446.023856858847,-1.47058449939399,0.0051367318230649,NA,0,-25.5833333333333,65.5599358541526,-10.5100025177002,-7.23000259101389,0,0,NA,NA,0,450,0,0.0055350553505535,0,"MODIS"
"35",78.3709668095742,14.0434995235629,0.000656598818122127,331.920326864147,-1.17385629267429,0.00499507539721545,NA,1,-24.5833333333333,65.3982189757058,-9.2300025463104,-6.24000261314211,0,0,NA,NA,0,450,0,0.00840428114310935,0,"MODIS"
"36",78.4236961322747,14.0849429911292,0,425.844806007509,-2.00739813917319,0,NA,-1,-24.9166666666667,65.8107195696032,-9.72000253535805,-6.9900025963783,0,0,NA,NA,0,450,0,0,0,"MODIS"
"37",78.2640785762096,13.9588346656259,0,360.733333333333,-1.65659880982888,0,NA,0,-23.9166666666667,65.6528864970646,-9.51000254005191,-5.52000262923536,0,0,NA,NA,0,450,0,0,0,"MODIS"
"38",78.0837314586968,13.819340008399,0,375.293255131965,-1.25164193194926,0,NA,1,-22.9166666666667,65.471394686907,-6.9900025963783,-5.52000262923536,0,0,NA,NA,0,250,0,0,0,"MODIS"
"39",70.524373680848,15.4094147513059,0.882669537136706,2479.88876928597,-13.7208671750319,9.94095779717794,55.9754215218396,-1,-3.83333333333333,59.273559382849,-16.2800023887306,-11.1300025038421,4.55999989807606,13.6249996954575,15.4280637883447,89.3871213902113,1800,2500,0.74855806182122,1,8.50999980978668,"MODIS"
"40",70.0829589208994,15.6572705972793,0.886178861788618,2402.95157299399,-13.2467822373704,12.2895083856121,63.147666923245,0,-2.83333333333333,58.843365146695,-15.1500024139881,-11.1300025038421,5.26999988220632,16.3099996354431,17.1704491963673,101.848028689083,2000,2500,0.639367231638418,0.99468085106383,9.72999978251755,"MODIS"
"41",69.6778694979522,15.9366841080071,0.91228680821441,2312.14758092586,-13.4757107702427,18.6849525931489,75.6996284359384,1,-1.83333333333333,58.4362965541246,-15.5400024052709,-12.2500024788081,7.24999983794987,26.1999994143844,33.5859011022671,114.255173310458,2000,2500,0.682563338301043,1,14.1099996846169,"MODIS"
