"","time","cod","trel"
"1",126060,33.9000015258789,-0.983333333333333
"2",126120,36.5699996948242,-0.966666666666667
"3",126180,39.1599998474121,-0.95
"4",126240,42.3800010681152,-0.933333333333333
"5",126300,46.5999984741211,-0.916666666666667
"6",126360,50.9300003051758,-0.9
"7",126420,54.189998626709,-0.883333333333333
"8",126480,54.8699989318848,-0.866666666666667
"9",126540,53.3899993896484,-0.85
"10",126600,49.7599983215332,-0.833333333333333
"11",126660,46.2000007629395,-0.816666666666667
"12",126720,41.8499984741211,-0.8
"13",126780,37.4799995422363,-0.783333333333333
"14",126840,34.0900001525879,-0.766666666666667
"15",126900,31.2299995422363,-0.75
"16",126960,29.0799999237061,-0.733333333333333
"17",127020,28.1200008392334,-0.716666666666667
"18",127080,28.1100006103516,-0.7
"19",127140,28.5900001525879,-0.683333333333333
"20",127200,29.1900005340576,-0.666666666666667
"21",127260,29.6000003814697,-0.65
"22",127320,29.2999992370605,-0.633333333333333
"23",127380,27.8799991607666,-0.616666666666667
"24",127440,25.8700008392334,-0.6
"25",127500,23.9899997711182,-0.583333333333333
"26",127560,21.8899993896484,-0.566666666666667
"27",127620,19.75,-0.55
"28",127680,17.8400001525879,-0.533333333333333
"29",127740,16.3999996185303,-0.516666666666667
"30",127800,15.8199996948242,-0.5
"31",127860,15.9799995422363,-0.483333333333333
"32",127920,16.6800003051758,-0.466666666666667
"33",127980,17.6800003051758,-0.45
"34",128040,19.1900005340576,-0.433333333333333
"35",128100,21.5799999237061,-0.416666666666667
"36",128160,24.5799999237061,-0.4
"37",128220,27.7399997711182,-0.383333333333333
"38",128280,30,-0.366666666666667
"39",128340,31.0499992370605,-0.35
"40",128400,30.4200000762939,-0.333333333333333
"41",128460,29.2299995422363,-0.316666666666667
"42",128520,28.2199993133545,-0.3
"43",128580,27.1000003814697,-0.283333333333333
"44",128640,25.6800003051758,-0.266666666666667
"45",128700,24.3700008392334,-0.25
"46",128760,22.7700004577637,-0.233333333333333
"47",128820,21.3099994659424,-0.216666666666667
"48",128880,19.6100006103516,-0.2
"49",128940,17.6800003051758,-0.183333333333333
"50",129000,16,-0.166666666666667
"51",129060,14.4899997711182,-0.15
"52",129120,13.0200004577637,-0.133333333333333
"53",129180,11.789999961853,-0.116666666666667
"54",129240,10.8900003433228,-0.1
"55",129300,11.3699998855591,-0.0833333333333333
"56",129360,12.7399997711182,-0.0666666666666667
"57",129420,15.0299997329712,-0.05
"58",129480,16.8500003814697,-0.0333333333333333
"59",129540,18.2700004577637,-0.0166666666666667
"60",129600,19.1700000762939,0
"61",129660,19.8500003814697,0.0166666666666667
"62",129720,20.9799995422363,0.0333333333333333
"63",129780,22.5699996948242,0.05
"64",129840,23.9599990844727,0.0666666666666667
"65",129900,24.6599998474121,0.0833333333333333
"66",129960,24.2299995422363,0.1
"67",130020,23.5499992370605,0.116666666666667
"68",130080,23.1000003814697,0.133333333333333
"69",130140,23.4099998474121,0.15
"70",130200,23.9500007629395,0.166666666666667
"71",130260,24.6000003814697,0.183333333333333
"72",130320,24.7399997711182,0.2
"73",130380,24.4599990844727,0.216666666666667
"74",130440,24.25,0.233333333333333
"75",130500,24.4400005340576,0.25
"76",130560,25.1700000762939,0.266666666666667
"77",130620,25.8500003814697,0.283333333333333
"78",130680,26.2800006866455,0.3
"79",130740,26.4699993133545,0.316666666666667
"80",130800,28,0.333333333333333
"81",130860,31.3099994659424,0.35
"82",130920,36.7299995422363,0.366666666666667
"83",130980,43.5400009155273,0.383333333333333
"84",131040,50.8899993896484,0.4
"85",131100,57.2599983215332,0.416666666666667
"86",131160,61.0800018310547,0.433333333333333
"87",131220,60.1399993896484,0.45
"88",131280,56.7799987792969,0.466666666666667
"89",131340,52.1199989318848,0.483333333333333
"90",131400,47.9000015258789,0.5
"91",131460,44.1599998474121,0.516666666666667
"92",131520,41.1399993896484,0.533333333333333
"93",131580,38.7200012207031,0.55
"94",131640,36.7799987792969,0.566666666666667
"95",131700,35.3800010681152,0.583333333333333
"96",131760,33.9099998474121,0.6
"97",131820,33.0099983215332,0.616666666666667
"98",131880,32.2599983215332,0.633333333333333
"99",131940,31.8500003814697,0.65
"100",132000,31.6800003051758,0.666666666666667
"101",132060,32.0900001525879,0.683333333333333
"102",132120,33.2099990844727,0.7
"103",132180,34.6800003051758,0.716666666666667
"104",132240,36.7400016784668,0.733333333333333
"105",132300,38.7000007629395,0.75
"106",132360,42.0800018310547,0.766666666666667
"107",132420,46.3600006103516,0.783333333333333
"108",132480,50.5900001525879,0.8
"109",132540,52.6199989318848,0.816666666666667
"110",132600,52.5099983215332,0.833333333333333
"111",132660,51.8699989318848,0.85
"112",132720,50.2299995422363,0.866666666666667
"113",132780,47.810001373291,0.883333333333333
"114",132840,44.5699996948242,0.9
"115",132900,40.939998626709,0.916666666666667
"116",132960,37.2200012207031,0.933333333333333
"117",133020,33.5900001525879,0.95
"118",133080,30.2099990844727,0.966666666666667
"119",133140,27.4599990844727,0.983333333333333
