"","lat","lon","swflx","swflx.25","swflx.75","lwflx","lwflx.25","lwflx.75","sat","tdiff","time.rel","sza"
"1",77.5666775089073,13.7306914272964,150.204405021667,78.4179172515869,226.616851806641,230.311137390137,227.637878417969,233.704032897949,"CERES",1,-21,64.6267074584961
"2",77.5666775089073,13.7306914272964,165.230199813843,99.740385055542,225.639060974121,232.15842628479,231.48607635498,233.616111755371,"CERES",-1,-21,64.9784450531006
"3",77.204996118556,13.7484592080138,136.544300079346,85.1645698547363,169.015663146973,233.122005462646,231.794792175293,234.770519256592,"CERES",0,-20,64.5906734466553
"4",76.8108963745309,13.8666832988636,87.5754733615451,75.2192611694336,85.9361267089844,237.327567206489,234.831344604492,239.054016113281,"CERES",1,-19,64.1607432895237
"5",77.5666775089073,13.7306914272964,157.885919298444,87.7068920135498,197.517555236816,234.276101248605,230.950466156006,237.72497177124,"CERES",1,-21,64.5579321725028
"6",77.5666775089073,13.7306914272964,198.726526896159,156.244480133057,232.696891784668,230.810228983561,229.170635223389,234.610034942627,"CERES",-1,-21,65.4537200927734
"7",77.204996118556,13.7484592080138,168.761665344238,128.235237121582,202.321296691895,231.430690220424,228.615112304688,233.53865814209,"CERES",0,-20,65.0491529192243
"8",76.8108963745309,13.8666832988636,135.44357808431,102.375144958496,159.368938446045,233.008099873861,229.344146728516,236.118255615234,"CERES",1,-19,64.7588640848796
"9",76.8108963745309,13.8666832988636,98.0231475830078,98.0231475830078,98.0231475830078,227.16357421875,227.16357421875,227.16357421875,"CERES",-1,-19,68.0684490203857
"10",76.4237463771753,13.9672291775896,NA,NA,NA,NA,NA,NA,"CERES",0,-18,67.7279281616211
"11",76.0526128693825,13.9680370304412,NA,NA,NA,NA,NA,NA,"CERES",1,-17,NA
"12",77.5666775089073,13.7306914272964,153.715701293945,96.0112838745117,193.378665924072,230.014389038086,227.620880126953,232.352005004883,"CERES",1,-21,64.8328590393066
"13",77.5666775089073,13.7306914272964,151.799760182699,70.6221008300781,222.614608764648,233.700198945545,232.396835327148,235.443588256836,"CERES",0,-21,64.6909503028506
"14",77.204996118556,13.7484592080138,122.325022125244,71.9058303833008,170.853820800781,235.842473602295,233.391708374023,238.476810455322,"CERES",1,-20,64.3191446304321
"15",77.204996118556,13.7484592080138,122.727205276489,65.6249561309814,121.138519287109,237.127435472276,236.257915496826,239.371822357178,"CERES",-1,-20,66.5623550415039
"16",76.8108963745309,13.8666832988636,87.8543417188856,65.856409072876,85.6652984619141,239.821736653646,239.311847686768,241.700878143311,"CERES",0,-19,66.2595503065321
"17",76.4237463771753,13.9672291775896,74.1567919114057,67.1190719604492,75.6487045288086,242.330844654756,241.395263671875,243.612701416016,"CERES",1,-18,66.0015568452723
"18",76.4237463771753,13.9672291775896,68.3332508632115,62.4103183746338,71.944953918457,243.626629420689,242.281745910645,244.978900909424,"CERES",-1,-18,70.3239250183105
"19",76.0526128693825,13.9680370304412,70.3550186157227,69.4242191314697,72.954948425293,244.877325693766,244.395565032959,245.478500366211,"CERES",0,-17,70.178378423055
"20",75.7026568400044,13.9038249432524,70.7780570983887,69.7015056610107,73.1786651611328,243.773529052734,243.888584136963,245.130046844482,"CERES",1,-16,70.0895074208577
"21",76.0526128693825,13.9680370304412,63.8597338994344,65.0123062133789,66.0148334503174,243.52007039388,241.630859375,245.572479248047,"CERES",-1,-17,75.8320020039876
"22",75.7026568400044,13.9038249432524,68.1770210266113,65.5296077728271,68.4783515930176,243.898893992106,242.47993850708,245.455059051514,"CERES",0,-16,75.8031794230143
"23",75.3653166027942,13.817378667718,72.3993166410006,66.6015930175781,77.9976654052734,243.726049569937,243.067581176758,244.65055847168,"CERES",1,-15,75.7315685565655
"24",75.3653166027942,13.817378667718,53.9768905639648,51.4342651367188,56.4646596908569,244.339524841309,243.487968444824,245.429794311523,"CERES",-1,-15,81.7325164794922
"25",75.045404349074,13.812826351494,55.0235302573756,51.9102802276611,57.8124542236328,243.811569213867,243.167114257812,244.690071105957,"CERES",0,-14,81.8375721981651
"26",74.6964312775406,13.9744154037183,53.807407951355,50.2399597167969,57.5510740280151,242.973965454102,242.253471374512,243.496070861816,"CERES",1,-13,82.0166408538818
"27",75.045404349074,13.812826351494,NA,NA,NA,242.391231718517,241.634140014648,243.094757080078,"CERES",-1,-14,87.0971995762416
"28",74.6964312775406,13.9744154037183,NA,NA,NA,240.966024647588,240.421546936035,242.004417419434,"CERES",0,-13,87.3889574797257
"29",74.3024840369266,14.2187309371058,NA,NA,NA,238.653639526367,235.966552734375,241.031066894531,"CERES",1,-12,87.6833795166016
"30",74.3024840369266,14.2187309371058,0,0,0,236.856416490343,235.900375366211,237.864807128906,"CERES",-1,-12,91.306628757053
"31",73.8611034212147,14.4854047593988,0,0,0,234.512063598633,231.818775177002,236.40832901001,"CERES",0,-11,91.8046897888184
"32",73.3913481424613,14.7038145000966,0,0,0,231.814665052626,230.416488647461,233.078170776367,"CERES",1,-10,92.2407904730903
"33",77.5666775089073,13.7306914272964,146.706065368652,96.3804454803467,203.222492218018,228.439801025391,218.745994567871,237.667610168457,"CERES",1,-21,64.8727607727051
"34",77.5666775089073,13.7306914272964,160.33368321469,78.3541069030762,253.442260742188,233.315436112253,230.28882598877,237.032859802246,"CERES",0,-21,64.6872028551604
"35",77.204996118556,13.7484592080138,122.682707214355,78.8776836395264,150.632434844971,237.072428894043,234.55504989624,241.213375091553,"CERES",1,-20,64.3147123336792
"36",77.204996118556,13.7484592080138,111.051718992345,67.2386016845703,147.842788696289,238.192897123449,236.77116394043,240.804611206055,"CERES",-1,-20,66.5205535888672
"37",76.8108963745309,13.8666832988636,84.5813419818878,66.8380718231201,75.1908721923828,241.65215587616,240.445056915283,242.432464599609,"CERES",0,-19,66.2713198661804
"38",76.4237463771753,13.9672291775896,76.2039799690247,70.3390712738037,74.7032203674316,243.360525131226,241.927684783936,244.704452514648,"CERES",1,-18,65.9949388504028
"39",76.4237463771753,13.9672291775896,71.6219314575195,65.0387573242188,72.8957633972168,241.940058390299,241.205383300781,244.221885681152,"CERES",-1,-18,70.3632039388021
"40",76.0526128693825,13.9680370304412,69.4181216557821,64.1499176025391,73.5917987823486,243.882132212321,242.674182891846,245.069217681885,"CERES",0,-17,70.231117884318
"41",75.7026568400044,13.9038249432524,71.0964532331987,64.2108192443848,74.8750343322754,242.564854015004,242.227180480957,245.237991333008,"CERES",1,-16,70.0540965687145
"42",76.0526128693825,13.9680370304412,65.2365611683239,64.866382598877,66.556812286377,243.981470281428,242.420509338379,245.701622009277,"CERES",-1,-17,75.7984341708097
"43",75.7026568400044,13.9038249432524,67.6314530806108,65.4801139831543,67.2904434204102,243.985710837624,241.744132995605,246.101753234863,"CERES",0,-16,75.8329225019975
"44",75.3653166027942,13.817378667718,73.016599214994,67.2661590576172,77.8372955322266,243.743397639348,242.398895263672,245.637023925781,"CERES",1,-15,75.7268001849835
"45",75.3653166027942,13.817378667718,53.8220329284668,50.7746286392212,56.6109704971313,243.983760409885,242.769828796387,244.967254638672,"CERES",-1,-15,81.7201860215929
"46",75.045404349074,13.812826351494,54.3860430997961,53.854434967041,56.6307067871094,243.150255988626,242.416198730469,243.806396484375,"CERES",0,-14,81.8615471335018
"47",74.6964312775406,13.9744154037183,53.520632292095,53.0399074554443,56.5912342071533,242.583117033306,242.395347595215,242.989562988281,"CERES",1,-13,82.0107016312449
"48",75.045404349074,13.812826351494,NA,NA,NA,241.460240903108,240.286415100098,242.363555908203,"CERES",-1,-14,87.0749760503354
"49",74.6964312775406,13.9744154037183,NA,NA,NA,239.916519800822,239.468055725098,241.17546081543,"CERES",0,-13,87.3761355082194
"50",74.3024840369266,14.2187309371058,NA,NA,NA,238.104345957438,235.479347229004,240.458564758301,"CERES",1,-12,87.6778971354167
"51",74.3024840369266,14.2187309371058,0,0,0,236.912489318848,235.728496551514,237.762538909912,"CERES",-1,-12,91.3247123718262
"52",73.8611034212147,14.4854047593988,0,0,0,233.709217418324,230.067520141602,236.717483520508,"CERES",0,-11,91.7494874434038
"53",73.3913481424613,14.7038145000966,0,0,0,230.445816040039,229.550189971924,231.430946350098,"CERES",1,-10,92.2590599060059
"54",72.4194729218735,14.8897423917758,0,0,0,229.623525238037,228.749591827393,232.212173461914,"CERES",-1,-8,90.8773796081543
"55",71.951749807522,14.9404627247746,0,0,0,225.015335083008,222.091094970703,231.387756347656,"CERES",0,-7,91.2357428414481
"56",71.4940977295851,15.0253281982218,0,0,0,219.108716692243,212.497375488281,225.038986206055,"CERES",1,-6,91.5833013625372
"57",71.4940977295851,15.0253281982218,50.0462638310024,43.8967704772949,55.6949996948242,223.475726899647,215.88362121582,230.29084777832,"CERES",-1,-6,85.8557067144485
"58",71.0474677136705,15.1628529747859,55.39393008839,53.8043718338013,59.3307456970215,216.850850191983,209.966556549072,222.455276489258,"CERES",0,-5,86.0266609191895
"59",70.598990868074,15.3692271660617,59.4038379192352,55.1893529891968,67.2333927154541,212.951868960732,208.159149169922,217.481590270996,"CERES",1,-4,86.195710834704
"60",71.0474677136705,15.1628529747859,104.70520237514,96.6722145080566,106.931064605713,223.291915893555,221.84056854248,225.494186401367,"CERES",-1,-5,78.5790209089007
"61",70.598990868074,15.3692271660617,119.224836077009,103.684116363525,137.74535369873,217.894173758371,215.022979736328,221.004066467285,"CERES",0,-4,78.6436407906669
"62",70.1512877447183,15.6103526775269,131.771456718445,120.894338607788,144.037239074707,213.724550247192,211.251159667969,215.126625061035,"CERES",1,-3,78.5129613876343
"63",70.1512877447183,15.6103526775269,NA,NA,NA,NA,NA,NA,"CERES",-1,-3,NA
"64",69.7413148018049,15.8918601960415,NA,NA,NA,NA,NA,NA,"CERES",0,-2,NA
"65",69.7413148018049,15.8918601960415,267.488653564453,253.969192504883,275.300415039062,208.370727539062,205.11279296875,213.830139160156,"CERES",-1,-2,62.9470497131348
"66",69.360642978689,16.160803667835,NA,NA,NA,NA,NA,NA,"CERES",0,-1,NA
"67",69.01,16.41,NA,NA,NA,NA,NA,NA,"CERES",1,0,NA
"68",69.01,16.41,407.553749084473,400.826248168945,422.059417724609,210.320849100749,208.728343963623,211.56205368042,"CERES",-1,0,57.0552425384521
"69",72.9015039660091,14.8240487530375,0,0,0,229.954771253798,228.727310180664,231.360595703125,"CERES",-1,-9,92.5953928629557
"70",72.4194729218735,14.8897423917758,0,0,0,226.403142293294,223.966918945312,230.385406494141,"CERES",0,-8,93.0048124525282
"71",71.951749807522,14.9404627247746,0,0,0,219.444454193115,216.774505615234,221.452457427979,"CERES",1,-7,93.4223155975342
"72",71.951749807522,14.9404627247746,NA,NA,NA,225.850556006798,224.609619140625,229.750839233398,"CERES",-1,-7,89.0523511446439
"73",71.4940977295851,15.0253281982218,NA,NA,NA,221.998800424429,213.091243743896,228.315364837646,"CERES",0,-6,89.3401231032151
"74",71.0474677136705,15.1628529747859,0,0,0,217.624197152945,211.092891693115,224.570320129395,"CERES",1,-5,89.6220893859863
"75",71.4940977295851,15.0253281982218,76.3634829203288,67.5512886047363,83.5802917480469,225.92509765625,222.306434631348,228.976547241211,"CERES",-1,-6,82.6318298339844
"76",71.0474677136705,15.1628529747859,80.8347995464618,71.0984954833984,93.2484436035156,221.339252178486,215.165557861328,227.741485595703,"CERES",0,-5,82.7451641376202
"77",70.598990868074,15.3692271660617,86.3309748722957,75.9421539306641,95.0379791259766,216.059827364408,210.945846557617,221.46044921875,"CERES",1,-4,82.8237903301532
"78",70.598990868074,15.3692271660617,150.247999191284,141.231315612793,155.089572906494,214.755432128906,213.639663696289,215.728546142578,"CERES",-1,-4,74.5740880966187
"79",70.1512877447183,15.6103526775269,160.819344656808,143.221641540527,173.644371032715,213.156348092215,211.175140380859,215.451499938965,"CERES",0,-3,74.5441927228655
"80",69.7413148018049,15.8918601960415,185.958316379123,171.552108764648,200.14875793457,210.21255323622,208.941696166992,212.008895874023,"CERES",1,-2,74.4189258151584
"81",69.7413148018049,15.8918601960415,288.008019341363,281.789520263672,290.335754394531,208.794984605577,208.058044433594,210.402267456055,"CERES",-1,-2,66.1582531399197
"82",69.360642978689,16.160803667835,295.994345092773,284.914161682129,301.969505310059,208.467250061035,208.18473815918,209.292957305908,"CERES",0,-1,65.9657264709473
"83",69.01,16.41,304.512359619141,299.291938781738,306.411026000977,208.042616271973,207.451438903809,208.661430358887,"CERES",1,0,65.7384971618652
"84",69.360642978689,16.160803667835,354.774305863814,340.935745239258,370.894744873047,211.334673794833,207.841079711914,214.830696105957,"CERES",-1,-1,59.4049693020907
"85",69.01,16.41,368.412090301514,356.331573486328,378.145225524902,210.286214828491,207.642562866211,211.483997344971,"CERES",0,0,59.0106678009033
"86",69.01,16.41,400.701633029514,386.584899902344,412.870727539062,211.157669067383,209.317001342773,213.259262084961,"CERES",-1,0,57.7515695359972
"87",69.01,16.41,400.312042236328,383.834320068359,415.430725097656,209.088558620877,207.395477294922,210.955993652344,"CERES",-1,0,57.838249206543
