"","time.abs","altitude","qv","rh","temp","theta"
"1",28199.999,0,2.42819976806641,65.4332809448242,-0.230849519371986,272.162200927734
"2",28199.999,0.00999999977648258,2.31677341461182,64.0433197021484,-0.595328330993652,271.896057128906
"3",28199.999,0.0209999997168779,2.21705985069275,61.959602355957,-0.761385917663574,271.837554931641
"4",28199.999,0.033100001513958,2.16312718391418,60.7952613830566,-0.858258426189423,271.858795166016
"5",28199.999,0.0464100018143654,2.12403130531311,60.1893005371094,-0.99247407913208,271.854522705078
"6",28199.999,0.0610510036349297,2.10703420639038,60.2034111022949,-1.12995684146881,271.859985351562
"7",28199.999,0.0771561041474342,2.0969226360321,60.5387001037598,-1.29848289489746,271.848724365234
"8",28199.999,0.0948717147111893,2.08832740783691,60.9937362670898,-1.48631358146667,271.833862304688
"9",28199.999,0.114358887076378,2.08435988426208,61.6552696228027,-1.69183945655823,271.818603515625
"10",28199.999,0.135794773697853,2.07483267784119,62.2235870361328,-1.91469717025757,271.805023193359
"11",28199.999,0.159374251961708,2.0701413154602,62.9561157226562,-2.14377856254578,271.806182861328
"12",28199.999,0.185311675071716,2.06283831596375,63.7625274658203,-2.40736865997314,271.795806884766
"13",28199.999,0.213842839002609,2.05279111862183,64.5617523193359,-2.68926882743835,271.792449951172
"14",28199.999,0.245227128267288,2.0516848564148,65.825927734375,-3.01038503646851,271.777709960938
"15",28199.999,0.279749840497971,2.03362631797791,66.6024017333984,-3.34418272972107,271.781005859375
"16",28199.999,0.317724823951721,2.01875805854797,67.6511535644531,-3.71497750282288,271.781005859375
"17",28199.999,0.359497308731079,2.01677966117859,69.3184204101562,-4.12285757064819,271.781005859375
"18",28199.999,0.405447036027908,1.99448013305664,70.4988174438477,-4.57153177261353,271.780975341797
"19",28199.999,0.455991744995117,1.97885966300964,72.1435775756836,-5.06506299972534,271.780975341797
"20",28199.999,0.511590957641602,1.94538152217865,73.3912124633789,-5.6079421043396,271.780975341797
"21",28199.999,0.572750091552734,1.90214681625366,74.5277328491211,-6.20512247085571,271.780944824219
"22",28199.999,0.64002513885498,1.83664417266846,75.040397644043,-6.86199188232422,271.780944824219
"23",28199.999,0.71402770280838,1.74775207042694,74.8012084960938,-7.5845799446106,271.780914306641
"24",28199.999,0.795430541038513,1.68428111076355,75.884407043457,-8.37941932678223,271.780914306641
"25",28199.999,0.884973645210266,1.60771453380585,76.6805953979492,-9.25373363494873,271.780914306641
"26",28199.999,0.983471035957336,1.46186137199402,74.2806549072266,-10.2154884338379,271.780883789062
"27",28199.999,1.09181821346283,1.3222736120224,72.0791320800781,-11.2734231948853,271.780853271484
"28",28199.999,1.21100008487701,1.19385921955109,69.8323440551758,-12.3430833816528,271.878662109375
"29",28199.999,1.34210014343262,1.03191471099854,63.9386863708496,-13.2637424468994,272.254211425781
"30",28199.999,1.48631024360657,0.882864594459534,58.2368774414062,-14.2601165771484,272.686706542969
"31",28199.999,1.64494132995605,0.706386983394623,49.917896270752,-15.3472385406494,273.174499511719
"32",28199.999,1.81943547725677,0.499519258737564,37.440113067627,-16.3301696777344,273.940826416016
"33",28199.999,2.01137900352478,0.310419619083405,24.6537017822266,-17.3221473693848,274.885192871094
"34",28199.999,2.2225170135498,0.178192928433418,15.0346994400024,-18.3684864044189,275.980407714844
"35",28199.999,2.45476889610291,0.148964107036591,13.3967294692993,-19.4803276062012,277.238006591797
"36",28199.999,2.71024608612061,0.153422713279724,14.6891260147095,-20.6057777404785,278.741577148438
"37",28199.999,2.99127101898193,0.08734580129385,8.97217750549316,-21.8484802246094,280.407531738281
"38",28199.999,3.30039834976196,0.0820698738098145,9.06729793548584,-23.1522769927979,282.332122802734
"39",28199.999,3.64043831825256,0.134986996650696,16.3019924163818,-24.6717128753662,284.379241943359
"40",28199.999,4.01448249816895,0.152059018611908,20.9942226409912,-26.7160320281982,286.232940673828
"41",28199.999,4.42593097686768,0.104845903813839,17.5005931854248,-29.3801879882812,287.817565917969
"42",28199.999,4.87852430343628,0.0825568735599518,17.9392833709717,-32.8151321411133,288.990112304688
"43",28199.999,5.37637710571289,0.0609180703759193,17.8694038391113,-36.5794830322266,290.322174072266
"44",28199.999,5.92401504516602,0.0822841748595238,33.5546493530273,-40.5769805908203,291.997253417969
"45",28199.999,6.52641677856445,0.0529847405850887,29.3444004058838,-44.2956809997559,294.747711181641
"46",28199.999,7.18905878067017,0.0570255815982819,45.1035308837891,-48.4234733581543,297.807342529297
"47",28199.999,7.91796493530273,0.0425729565322399,49.3703994750977,-52.7105140686035,301.617645263672
"48",28199.999,8.71976184844971,0.00895028468221426,14.5430746078491,-56.5539741516113,307.168609619141
"49",28199.999,9.60173797607422,0.0115286251530051,27.0895328521729,-60.6096687316895,313.760070800781
"50",28199.999,10.5719118118286,0.00600535934790969,16.5044250488281,-63.018253326416,324.424713134766
"51",28199.999,11.639102935791,0.00308131705969572,7.12822246551514,-63.0266342163086,340.903900146484
"52",28199.999,12.8130130767822,0.00313935382291675,6.4383692741394,-63.5597229003906,359.127227783203
"53",28199.999,14.1043138504028,0.00317339017055929,6.3566255569458,-64.9613876342773,378.919189453125
"54",28199.999,15.5247449874878,0.00335861300118268,6.72014904022217,-66.6707916259766,401.805572509766
"55",28199.999,17.0872192382812,0.00353994872421026,6.64911556243896,-68.0842742919922,429.764099121094
"56",28499.999,0,2.53255867958069,67.0637359619141,0.00841746479272842,272.392791748047
"57",28499.999,0.00999999977648258,2.41190791130066,66.7422714233398,-0.610187768936157,271.873199462891
