"","lat","lon","cth","ctt","cod","nd","tdiff","time.rel","sza","ctt.25","ctt.75","cod.25","cod.75","nd.25","nd.75","cth.25","cth.75","cod.me","sat"
"1",71.253724433554,9.58406187892399,2590.74410163339,-18.8807464322327,17.1374043356424,21.7097548795059,-1,-9.83333333333333,66.443611615245,-22.0000022608787,-18.2100023455918,0,18.2749995915219,10.436505005527,30.0115988834068,2500,2950,6.91999984532595,"MODIS"
"2",70.9861388900069,10.1936355538746,2224.38446969697,-15.1857883980364,14.9851322408138,18.735050447063,0,-8.83333333333333,66.156884469697,-20.930002284795,-11.8900024868548,0,14.7499996703118,5.41915639775078,28.0330523144762,1800,2950,3.82499991450459,"MODIS"
"3",70.7297251670718,10.8134691227487,2120.7570977918,-13.5795355721193,15.8341069016006,18.2842487356486,1,-7.83333333333333,65.8514889589905,-19.4400023180991,-9.20000254698095,0,11.789999736473,5.12389379993942,25.3528862768122,1550,2750,3.29999992623925,"MODIS"
"4",70.8153037590577,10.6079185573,1884.72128945601,-11.7973274279582,12.4794750607701,28.4978836669911,-1,-8.16666666666667,63.1149773527932,-18.630002336204,-6.21000261381266,0.637499985750764,11.292499747593,7.11910464039534,35.6224233514706,1100,2750,3.88999991305172,"MODIS"
"5",70.5582459300771,11.2213883811185,1795.16107472263,-10.3195245744237,11.8857453696384,29.6754645684938,0,-7.16666666666667,62.8351030552861,-17.9100023522973,-3.35000267773864,0,10.1199997738004,6.97494364682637,35.5206613573478,900,2750,3.04999993182719,"MODIS"
"6",70.3072119914111,11.8210470683739,1775.22486772487,-9.42921720414107,12.4571400642038,28.6058339049117,1,-6.16666666666667,62.5630168974419,-17.2700023666024,-3.33000267818568,0,9.76999978162348,6.00737958601483,30.8788583460288,650,2750,2.48999994434416,"MODIS"
"7",70.4112940561198,11.5722076320424,NA,NA,NA,NA,-1,-6.58333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MODIS"
"8",70.1672156799806,12.165436831224,NA,NA,NA,NA,0,-5.58333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MODIS"
"9",69.9381507679836,12.7507154109901,NA,NA,NA,NA,1,-4.58333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MODIS"
"10",70.390477643178,11.6219755193087,1733.06359482102,-10.352203481448,9.5484318487751,19.3724438442013,-1,-6.5,63.6777101073676,-18.1400023471564,-3.56000267304478,0,7.49999983236194,4.77939673817926,24.5268699184758,650,2750,1.81999995931983,"MODIS"
"11",70.1475429828712,12.2144076288875,1851.92537909018,-10.7307301144455,9.64018706505565,17.1404620560313,0,-5.5,63.5249492781896,-18.1400023471564,-3.11000268310306,0,7.60999982990324,3.97616245100003,21.6069067165742,900,2750,1.7799999602139,"MODIS"
"12",69.9198795615373,12.7992120102144,1945.31648258284,-10.9531213823259,9.7042816815925,14.3647558874458,1,-4.5,63.3874152455311,-18.1400023471564,-2.89000268802045,0,7.77499982621521,2.66415015971941,18.4325896763077,900,3000,1.43999996781349,"MODIS"
"13",70.0112355937686,12.5567290140928,2148.56446370531,-12.9156254325113,6.23456107408115,11.7574929606229,-1,-4.91666666666667,68.1698374864572,-20.0700023040175,-6.0450026175007,0,4.13249990763143,1.40575928558252,18.43445367045,1350,3000,0,"MODIS"
"14",69.7927815009313,13.1414420252615,2087.890625,-12.3189087272678,4.91710058453868,10.1501952782083,0,-3.91666666666667,68.2032725694445,-18.4700023397803,-5.31000263392923,0,2.24999994970858,0.939765706944413,14.406266545564,1100,3000,0,"MODIS"
"15",69.584905281266,13.75802744567,2064.8590021692,-12.1491998780244,3.48084590918184,9.72830770566274,1,-2.91666666666667,68.3000650759219,-18.3500023424625,-6.95000259727237,0,1.53999996557832,0.85419340619192,5.00999901861378,1350,3000,0,"MODIS"
"16",69.3589043654487,14.5652174924136,1772.5188781014,-10.8109395016803,0,NA,-1,-1.66666666666667,84.1029348411416,-17.8500023536384,-2.68000269271431,0,0,NA,NA,650,2750,0,"MODIS"
"17",69.2151603064974,15.2395466030788,1770.27101769911,-11.8482614303399,0,NA,0,-0.666666666666667,84.3557796143251,-18.9900023281574,-4.27000265717504,0,0,NA,NA,850,2500,0,"MODIS"
"18",69.1502700383122,15.6284433253848,2012.34657039711,-13.7181523568722,0,NA,-1,-0.0833333333333333,92.567134292566,-21.0900022812187,-8.50000256262717,0,0,NA,NA,1100,2750,0,"MODIS"
"19",73.5942942178118,6.07455870744002,2408.3879423329,-20.8143456687692,0,NA,-1,-17.5833333333333,96.9007313237222,-21.8800022635609,-20.8700022861361,0,0,NA,NA,2450,2450,0,"MODIS"
"20",73.2456052851365,6.45587251366708,2427.95345307362,-20.2837108750058,0,NA,0,-16.5833333333333,97.1562964836833,-20.9200022850185,-20.080002303794,0,0,NA,NA,2450,2450,0,"MODIS"
"21",72.9120443706722,6.84937440542918,2439.35468100709,-19.8119944877358,0,NA,1,-15.5833333333333,97.3943461256417,-20.9200022850185,-19.8500023089349,0,0,NA,NA,2450,2450,0,"MODIS"
"22",73.0477526468452,6.6831666662679,2329.40655447299,-19.1760696402077,0,NA,-1,-16,92.316306465899,-20.6300022915005,-18.5800023373216,0,0,NA,NA,2250,2450,0,"MODIS"
"23",72.72205278403,7.08206524025498,1796.20253164557,-13.6092429547559,0,NA,0,-15,92.2981012658228,-19.770002310723,-9.67000253647564,0,0,NA,NA,1300,2450,0,"MODIS"
"24",72.4075642152951,7.49209210034208,NA,NA,NA,NA,1,-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MODIS"
